[2023-09-20T20:45:32.668+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: student_semantic.create_dataframe_missed_days manual__2023-09-20T20:45:31.569835+00:00 [queued]>
[2023-09-20T20:45:32.675+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: student_semantic.create_dataframe_missed_days manual__2023-09-20T20:45:31.569835+00:00 [queued]>
[2023-09-20T20:45:32.675+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2023-09-20T20:45:32.687+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): create_dataframe_missed_days> on 2023-09-20 20:45:31.569835+00:00
[2023-09-20T20:45:32.692+0000] {standard_task_runner.py:57} INFO - Started process 2241 to run task
[2023-09-20T20:45:32.695+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'student_semantic', 'create_dataframe_missed_days', 'manual__2023-09-20T20:45:31.569835+00:00', '--job-id', '234', '--raw', '--subdir', 'DAGS_FOLDER/student_semantic.py', '--cfg-path', '/tmp/tmpxskt1y14']
[2023-09-20T20:45:32.698+0000] {standard_task_runner.py:85} INFO - Job 234: Subtask create_dataframe_missed_days
[2023-09-20T20:45:32.741+0000] {task_command.py:415} INFO - Running <TaskInstance: student_semantic.create_dataframe_missed_days manual__2023-09-20T20:45:31.569835+00:00 [running]> on host 6086152831d6
[2023-09-20T20:45:32.983+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='student_semantic' AIRFLOW_CTX_TASK_ID='create_dataframe_missed_days' AIRFLOW_CTX_EXECUTION_DATE='2023-09-20T20:45:31.569835+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-09-20T20:45:31.569835+00:00'
[2023-09-20T20:45:32.993+0000] {logging_mixin.py:151} INFO - json_data {'missed_classes': [{'student_id': 'S001', 'missed_days': 3}, {'student_id': 'S002', 'missed_days': 5}, {'student_id': 'S003', 'missed_days': 2}, {'student_id': 'S004', 'missed_days': 1}, {'student_id': 'S005', 'missed_days': 4}, {'student_id': 'S006', 'missed_days': 2}, {'student_id': 'S007', 'missed_days': 3}, {'student_id': 'S008', 'missed_days': 1}, {'student_id': 'S009', 'missed_days': 6}, {'student_id': 'S010', 'missed_days': 3}, {'student_id': 'S011', 'missed_days': 4}, {'student_id': 'S012', 'missed_days': 2}, {'student_id': 'S013', 'missed_days': 5}, {'student_id': 'S014', 'missed_days': 3}, {'student_id': 'S015', 'missed_days': 2}, {'student_id': 'S016', 'missed_days': 4}, {'student_id': 'S017', 'missed_days': 3}, {'student_id': 'S018', 'missed_days': 1}, {'student_id': 'S019', 'missed_days': 2}, {'student_id': 'S020', 'missed_days': 5}, {'student_id': 'S021', 'missed_days': 3}, {'student_id': 'S022', 'missed_days': 4}, {'student_id': 'S023', 'missed_days': 2}, {'student_id': 'S024', 'missed_days': 1}, {'student_id': 'S025', 'missed_days': 5}, {'student_id': 'S026', 'missed_days': 2}, {'student_id': 'S027', 'missed_days': 3}, {'student_id': 'S028', 'missed_days': 4}, {'student_id': 'S029', 'missed_days': 2}, {'student_id': 'S030', 'missed_days': 1}, {'student_id': 'S031', 'missed_days': 3}, {'student_id': 'S032', 'missed_days': 5}, {'student_id': 'S033', 'missed_days': 2}, {'student_id': 'S034', 'missed_days': 4}, {'student_id': 'S035', 'missed_days': 3}, {'student_id': 'S036', 'missed_days': 1}, {'student_id': 'S037', 'missed_days': 2}, {'student_id': 'S038', 'missed_days': 5}, {'student_id': 'S039', 'missed_days': 3}, {'student_id': 'S040', 'missed_days': 4}, {'student_id': 'S041', 'missed_days': 2}, {'student_id': 'S042', 'missed_days': 1}, {'student_id': 'S043', 'missed_days': 5}, {'student_id': 'S044', 'missed_days': 3}, {'student_id': 'S045', 'missed_days': 2}, {'student_id': 'S046', 'missed_days': 4}, {'student_id': 'S047', 'missed_days': 3}, {'student_id': 'S048', 'missed_days': 1}, {'student_id': 'S049', 'missed_days': 2}, {'student_id': 'S050', 'missed_days': 5}]}
[2023-09-20T20:45:32.996+0000] {python.py:194} INFO - Done. Returned value was:    student_id  missed_days
0        S001            3
1        S002            5
2        S003            2
3        S004            1
4        S005            4
5        S006            2
6        S007            3
7        S008            1
8        S009            6
9        S010            3
10       S011            4
11       S012            2
12       S013            5
13       S014            3
14       S015            2
15       S016            4
16       S017            3
17       S018            1
18       S019            2
19       S020            5
20       S021            3
21       S022            4
22       S023            2
23       S024            1
24       S025            5
25       S026            2
26       S027            3
27       S028            4
28       S029            2
29       S030            1
30       S031            3
31       S032            5
32       S033            2
33       S034            4
34       S035            3
35       S036            1
36       S037            2
37       S038            5
38       S039            3
39       S040            4
40       S041            2
41       S042            1
42       S043            5
43       S044            3
44       S045            2
45       S046            4
46       S047            3
47       S048            1
48       S049            2
49       S050            5
[2023-09-20T20:45:33.032+0000] {taskinstance.py:1398} INFO - Marking task as SUCCESS. dag_id=student_semantic, task_id=create_dataframe_missed_days, execution_date=20230920T204531, start_date=20230920T204532, end_date=20230920T204533
[2023-09-20T20:45:33.069+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2023-09-20T20:45:33.081+0000] {taskinstance.py:2776} INFO - 0 downstream tasks scheduled from follow-on schedule check
